id,equation_raw,notes,provenance,equation_normalized,status,balance
13776,Ge+4_OH-1(4) + 2<H+1_Sulfox-2> = Ge+4_OH-1(2)_Sulfox-2(2) + 2<H2O>,[],"{""bbox_points"": [60.17885350318471, 57.48000000000002, 551.2937579617834, 68.16000000000008], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_Sulfox-2> = Ge+4_OH-1(2)_Sulfox-2(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(2)_Sulfox-2(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1_Sulfox-2"": ""-2"", ""H2O"": ""2""}}"
13837,Ge+4_OH-1(4) + 2<H+1_Ferron-2> = Ge+4_OH-1(2)_Ferron-2(2) + 2<H2O>,[],"{""bbox_points"": [60.17885350318471, 163.20000000000005, 551.2937579617834, 173.88], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_Ferron-2> = Ge+4_OH-1(2)_Ferron-2(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(2)_Ferron-2(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1_Ferron-2"": ""-2"", ""H2O"": ""2""}}"
14005,Ge+4_OH-1(4) + H+1(3)_EDTA-4 = Ge+4_OH-1_EDTA-4 + 3<H2O>,"[{""page"": 3, ""text"": ""Note: Complex initially Ge(OH)2HL, later Ge(OH)L; this form adopted in JESS""}, {""page"": 3, ""text"": ""Note (2): From 67Kon [31894]; thus complex written as Ge(OH)2HL""}, {""page"": 3, ""text"": ""Note (3): Complex written as Ge(OH)2HL in paper; modified later by authors""}]","{""bbox_points"": [60.17885350318471, 268.9200000000001, 551.2937579617834, 279.48], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + H+1(3)_EDTA-4 = Ge+4_OH-1_EDTA-4 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(4)"": ""-1"", ""Ge+4_OH-1_EDTA-4"": ""1"", ""H+1(3)_EDTA-4"": ""-1"", ""H2O"": ""3""}}"
14006,Glucosaminic-1 + Ge+4_OH-1(4) = GeO+2_H+1(-1)_Glucosaminic-1_OH-1 + 2<H2O>,[],"{""bbox_points"": [60.17885350318471, 487.92, 551.2937579617834, 498.54], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GER.PDF""}",Glucosaminic-1 + Ge+4_OH-1(4) = GeO+2_H+1(-1)_Glucosaminic-1_OH-1 + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(4)"": ""-1"", ""GeO+2_H+1(-1)_Glucosaminic-1_OH-1"": ""1"", ""Glucosaminic-1"": ""-1"", ""H2O"": ""2""}}"
14127,Ge+4_OH-1(4) + H+1(3)_HOEDTA-3 = Ge+4_H+1(-1)_HOEDTA-3 + 4<H2O>,[],"{""bbox_points"": [60.17885350318471, 575.22, 551.2937579617834, 585.78], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + H+1(3)_HOEDTA-3 = Ge+4_H+1(-1)_HOEDTA-3 + 4<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(-1)_HOEDTA-3"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1(3)_HOEDTA-3"": ""-1"", ""H2O"": ""4""}}"
14389,Ge+4_OH-1(4) + H+1(3)_MeEDTA-4 = Ge+4_OH-1_MeEDTA-4 + 3<H2O>,[],"{""bbox_points"": [60.17885350318471, 680.94, 551.2937579617834, 691.5], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 3, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + H+1(3)_MeEDTA-4 = Ge+4_OH-1_MeEDTA-4 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(4)"": ""-1"", ""Ge+4_OH-1_MeEDTA-4"": ""1"", ""H+1(3)_MeEDTA-4"": ""-1"", ""H2O"": ""3""}}"
19788,2<Glucosaminic-1> + Ge+4_OH-1(4) = Ge+4_H+1(-2)_Glucosaminic-1(2)_OH-1(2) + 2<H2O >,[],"{""bbox_points"": [60.18699386503067, 108.12, 551.2873619631902, 118.62000000000006], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 4, ""source_file"": ""GER.PDF""}",2<Glucosaminic-1> + Ge+4_OH-1(4) = Ge+4_H+1(-2)_Glucosaminic-1(2)_OH-1(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(-2)_Glucosaminic-1(2)_OH-1(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""Glucosaminic-1"": ""-2"", ""H2O"": ""2""}}"
21476,Ge+4_OH-1(4) + 2<DMannitol> = GeO+2_DMannitol(2)_OH-1(3) + H+1,[],"{""bbox_points"": [60.18699386503067, 195.3, 551.2873619631902, 205.92000000000007], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 4, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DMannitol> = GeO+2_DMannitol(2)_OH-1(3) + H+1,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DMannitol"": ""-2"", ""Ge+4_OH-1(4)"": ""-1"", ""GeO+2_DMannitol(2)_OH-1(3)"": ""1"", ""H+1"": ""1""}}"
28563,Ge+4_OH-1(4) + 2<Galactitol> = Ge+4_H+1(-4)_Galactitol(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18699386503067, 301.02000000000004, 551.2873619631902, 311.58000000000004], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 4, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<Galactitol> = Ge+4_H+1(-4)_Galactitol(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Galactitol"": ""-2"", ""Ge+4_H+1(-4)_Galactitol(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28569,Ge+4_OH-1(4) + 2<DRibose> = Ge+4_H+1(-4)_DRibose(2)_OH-1 + H+1 + 3<H2O>,[],"{""bbox_points"": [60.18699386503067, 443.52000000000004, 551.2873619631902, 454.08000000000004], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 4, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DRibose> = Ge+4_H+1(-4)_DRibose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DRibose"": ""-2"", ""Ge+4_H+1(-4)_DRibose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28572,Ge+4_OH-1(4) + 2<DLyxose> = Ge+4_H+1(-4)_DLyxose(2)_OH-1 + H+1 + 3<H2O>,[],"{""bbox_points"": [60.18699386503067, 530.8799999999999, 551.2873619631902, 541.3800000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 4, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DLyxose> = Ge+4_H+1(-4)_DLyxose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DLyxose"": ""-2"", ""Ge+4_H+1(-4)_DLyxose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28576,Ge+4_OH-1(4) + 2<DXylose> = Ge+4_H+1(-4)_DXylose(2)_OH-1 + H+1 + 3<H2O>,[],"{""bbox_points"": [60.18699386503067, 618.06, 551.2873619631902, 628.74], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 4, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DXylose> = Ge+4_H+1(-4)_DXylose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DXylose"": ""-2"", ""Ge+4_H+1(-4)_DXylose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28580,Ge+4_OH-1(4) + 2<DArabinose> = Ge+4_H+1(-4)_DArabinose(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18299999999999, 57.48000000000002, 551.2905, 68.16000000000008], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 5, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DArabinose> = Ge+4_H+1(-4)_DArabinose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DArabinose"": ""-2"", ""Ge+4_H+1(-4)_DArabinose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28584,Ge+4_OH-1(4) + 2<LArabinose> = Ge+4_H+1(-4)_LArabinose(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18299999999999, 163.20000000000005, 551.2905, 173.88], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 5, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<LArabinose> = Ge+4_H+1(-4)_LArabinose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(-4)_LArabinose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3"", ""LArabinose"": ""-2""}}"
28589,Ge+4_OH-1(4) + 2<DFructose> = Ge+4_H+1(-4)_DFructose(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18299999999999, 268.9200000000001, 551.2905, 279.48], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 5, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DFructose> = Ge+4_H+1(-4)_DFructose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DFructose"": ""-2"", ""Ge+4_H+1(-4)_DFructose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28592,Ge+4_OH-1(4) + 2<LSorbose> = Ge+4_H+1(-4)_LSorbose(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18299999999999, 374.64000000000004, 551.2905, 385.2], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 5, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<LSorbose> = Ge+4_H+1(-4)_LSorbose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(-4)_LSorbose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3"", ""LSorbose"": ""-2""}}"
28603,Ge+4_OH-1(4) + 2<DMannose> = Ge+4_H+1(-4)_DMannose(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18299999999999, 480.36, 551.2905, 490.92], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 5, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DMannose> = Ge+4_H+1(-4)_DMannose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DMannose"": ""-2"", ""Ge+4_H+1(-4)_DMannose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
28606,Ge+4_OH-1(4) + 2<DGalactose> = Ge+4_H+1(-4)_DGalactose(2)_OH-1 + H+1 + 3<H2O >,"[{""page"": 5, ""text"": ""Note (2): Error, this value is for DMannose""}]","{""bbox_points"": [60.18299999999999, 585.96, 551.2905, 596.6400000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 5, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<DGalactose> = Ge+4_H+1(-4)_DGalactose(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""DGalactose"": ""-2"", ""Ge+4_H+1(-4)_DGalactose(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H2O"": ""3""}}"
31972,Ge+4_OH-1(2) + 2<BuXanthate-1> = Ge+4_BuXanthate-1(2)_OH-1(2),[],"{""bbox_points"": [60.19455621301775, 57.48000000000002, 551.2814201183431, 68.16000000000008], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(2) + 2<BuXanthate-1> = Ge+4_BuXanthate-1(2)_OH-1(2),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""BuXanthate-1"": ""-2"", ""Ge+4_BuXanthate-1(2)_OH-1(2)"": ""1"", ""Ge+4_OH-1(2)"": ""-1""}}"
32845,Ge+4_OH-1(4) + 3<H+1(2)_4NitrCat-2> = Ge+4_4NitrCat-2(3) + 2<H+1> + 4<H2O >,[],"{""bbox_points"": [60.19455621301775, 144.84000000000003, 551.2814201183431, 155.33999999999997], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 3<H+1(2)_4NitrCat-2> = Ge+4_4NitrCat-2(3) + 2<H+1> + 4<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_4NitrCat-2(3)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""2"", ""H+1(2)_4NitrCat-2"": ""-3"", ""H2O"": ""4""}}"
33581,Ge+4_OH-1(4) + 3<H+1(4)_Gallic-4> = Ge+4_H+1(6)_Gallic-4(3) + 2<H+1> + 4<H2O >,[],"{""bbox_points"": [60.19455621301775, 250.56000000000006, 551.2814201183431, 261.06], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 3<H+1(4)_Gallic-4> = Ge+4_H+1(6)_Gallic-4(3) + 2<H+1> + 4<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(6)_Gallic-4(3)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""2"", ""H+1(4)_Gallic-4"": ""-3"", ""H2O"": ""4""}}"
33582,Ge+4_H+1(5)_Gallic-4(3) + H+1 = Ge+4_H+1(6)_Gallic-4(3),[],"{""bbox_points"": [60.19455621301775, 337.8, 551.2814201183431, 348.42], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_H+1(5)_Gallic-4(3) + H+1 = Ge+4_H+1(6)_Gallic-4(3),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(5)_Gallic-4(3)"": ""-1"", ""Ge+4_H+1(6)_Gallic-4(3)"": ""1"", ""H+1"": ""-1""}}"
33583,Ge+4_H+1(4)_Gallic-4(3) + H+1 = Ge+4_H+1(5)_Gallic-4(3),[],"{""bbox_points"": [60.19455621301775, 425.16, 551.2814201183431, 435.66], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_H+1(4)_Gallic-4(3) + H+1 = Ge+4_H+1(5)_Gallic-4(3),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(4)_Gallic-4(3)"": ""-1"", ""Ge+4_H+1(5)_Gallic-4(3)"": ""1"", ""H+1"": ""-1""}}"
33584,Ge+4_H+1(3)_Gallic-4(3) + H+1 = Ge+4_H+1(4)_Gallic-4(3),[],"{""bbox_points"": [60.19455621301775, 512.4000000000001, 551.2814201183431, 523.02], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_H+1(3)_Gallic-4(3) + H+1 = Ge+4_H+1(4)_Gallic-4(3),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(3)_Gallic-4(3)"": ""-1"", ""Ge+4_H+1(4)_Gallic-4(3)"": ""1"", ""H+1"": ""-1""}}"
34511,Ge+4_OH-1(4) + H+1(2)_NTA-3 = Ge+4_OH-1(2)_NTA-3 + 2<H2O>,[],"{""bbox_points"": [60.19455621301775, 599.7, 551.2814201183431, 610.26], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + H+1(2)_NTA-3 = Ge+4_OH-1(2)_NTA-3 + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(2)_NTA-3"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1(2)_NTA-3"": ""-1"", ""H2O"": ""2""}}"
34512,Ge+4_OH-1(4) + H+1(3)_TriEtOlAm = Ge+4_TriEtOlAm_OH-1 + 3<H2O>,[],"{""bbox_points"": [60.19455621301775, 705.4200000000001, 551.2814201183431, 715.98], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 6, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + H+1(3)_TriEtOlAm = Ge+4_TriEtOlAm_OH-1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(4)"": ""-1"", ""Ge+4_TriEtOlAm_OH-1"": ""1"", ""H+1(3)_TriEtOlAm"": ""-1"", ""H2O"": ""3""}}"
34708,Ge+4_OH-1(4) + 2<H+1_2SHEtol-1> = Ge+4_H+1(-2)_2SHEtol-1(2)_OH-1 + H+1 + 3<H2O >,[],"{""bbox_points"": [60.18631578947368, 126.48000000000002, 551.2878947368421, 136.98000000000008], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 7, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_2SHEtol-1> = Ge+4_H+1(-2)_2SHEtol-1(2)_OH-1 + H+1 + 3<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(-2)_2SHEtol-1(2)_OH-1"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""1"", ""H+1_2SHEtol-1"": ""-2"", ""H2O"": ""3""}}"
